dataset,2019_eu,2019_native,2019_test,2020_eu,2020_native,2020_test,2021_eu,2021_native,2021_test,2022_eu,2022_native,2022_test,2023_eu,2023_native,2023_test
2019_eu,0.9999999999999999,-0.011785465063220535,-0.1004037456155693,0.9962781191989096,-0.006419317588549633,-0.48886454489890463,0.9993422900738503,-0.06105226327538604,-0.41464399402510654,0.9950475681311971,-0.02170115219531321,-0.4976878408488292,0.9742769149421885,0.01088812313112486,-0.4860022796722574
2019_native,-0.011785465063220535,0.9999999999999998,-0.8415326353248804,-0.03653867396232702,0.9923535273703898,-0.863251541859277,-0.04630861771950734,0.9955659455750275,-0.9047717738383843,-0.013539244147866336,0.9926622971063893,-0.8470226355795989,-0.02329135654325598,0.9974533043593522,-0.8637049040520037
2019_test,-0.1004037456155693,-0.8415326353248804,0.9999999999999999,-0.03958334202397373,-0.7941417407403488,0.7454497442681429,-0.07356776265064036,-0.8303172800394143,0.7990285517118565,-0.05212572011716898,-0.8337028415603331,0.6907735651397403,0.017308730687959906,-0.8642920386205102,0.7360540746672372
2020_eu,0.9962781191989096,-0.03653867396232702,-0.03958334202397373,0.9999999999999999,-0.02659053408125267,-0.47167604723838874,0.9962805817051686,-0.08611288537694084,-0.3920197093076334,0.9994939386960447,-0.047679819448211536,-0.48388171936882585,0.9894881554481646,-0.018209981768813943,-0.46938974446830795
2020_native,-0.006419317588549633,0.9923535273703898,-0.7941417407403488,-0.02659053408125267,1.0,-0.8624420199658305,-0.04038283094329986,0.9826109295867261,-0.9023120824445039,-0.0019002148488180826,0.9773309314805213,-0.8556665440389679,-0.006052924406457549,0.9915108144400734,-0.8646515352446986
2020_test,-0.48886454489890463,-0.863251541859277,0.7454497442681429,-0.47167604723838874,-0.8624420199658305,0.9999999999999999,-0.458246386519777,-0.835074484258838,0.9945361125733793,-0.4920593788682237,-0.8518372822418216,0.9931802886103009,-0.4827566356447637,-0.868010434711858,0.9995779135561716
2021_eu,0.9993422900738503,-0.04630861771950734,-0.07356776265064036,0.9962805817051686,-0.04038283094329986,-0.458246386519777,1.0,-0.09619765427254268,-0.38300949671068896,0.9943794638961375,-0.057187604020666916,-0.4669081894159479,0.973636182223672,-0.023119128763360086,-0.4551508429824591
2021_native,-0.06105226327538604,0.9955659455750275,-0.8303172800394143,-0.08611288537694084,0.9826109295867261,-0.835074484258838,-0.09619765427254268,1.0,-0.8788134911087169,-0.06450981807727874,0.998390602927636,-0.8213468379851054,-0.07378412617840024,0.9894781410852627,-0.8367796934727529
2021_test,-0.41464399402510654,-0.9047717738383843,0.7990285517118565,-0.3920197093076334,-0.9023120824445039,0.9945361125733793,-0.38300949671068896,-0.8788134911087169,1.0,-0.4128711514227519,-0.89233521098895,0.9844637008361217,-0.39732096070719924,-0.9116976742444072,0.9938662401461724
2022_eu,0.9950475681311971,-0.013539244147866336,-0.05212572011716898,0.9994939386960447,-0.0019002148488180826,-0.4920593788682237,0.9943794638961375,-0.06450981807727874,-0.4128711514227519,0.9999999999999999,-0.026940999345306027,-0.5039969033750367,0.9916860979019614,0.004470612167307819,-0.4897048376767237
2022_native,-0.02170115219531321,0.9926622971063893,-0.8337028415603331,-0.047679819448211536,0.9773309314805213,-0.8518372822418216,-0.057187604020666916,0.998390602927636,-0.89233521098895,-0.026940999345306027,0.9999999999999998,-0.8399446976724243,-0.03813588180648475,0.9866660529725385,-0.8539980048841036
2022_test,-0.4976878408488292,-0.8470226355795989,0.6907735651397403,-0.48388171936882585,-0.8556665440389679,0.9931802886103009,-0.4669081894159479,-0.8213468379851054,0.9844637008361217,-0.5039969033750367,-0.8399446976724243,1.0,-0.49851848895343487,-0.8511881416111557,0.9960000454541991
2023_eu,0.9742769149421885,-0.02329135654325598,0.017308730687959906,0.9894881554481646,-0.006052924406457549,-0.4827566356447637,0.973636182223672,-0.07378412617840024,-0.39732096070719924,0.9916860979019614,-0.03813588180648475,-0.49851848895343487,0.9999999999999999,-0.01272010242359456,-0.48118154692383364
2023_native,0.01088812313112486,0.9974533043593522,-0.8642920386205102,-0.018209981768813943,0.9915108144400734,-0.868010434711858,-0.023119128763360086,0.9894781410852627,-0.9116976742444072,0.004470612167307819,0.9866660529725385,-0.8511881416111557,-0.01272010242359456,1.0,-0.8680949237009585
2023_test,-0.4860022796722574,-0.8637049040520037,0.7360540746672372,-0.46938974446830795,-0.8646515352446986,0.9995779135561716,-0.4551508429824591,-0.8367796934727529,0.9938662401461724,-0.4897048376767237,-0.8539980048841036,0.9960000454541991,-0.48118154692383364,-0.8680949237009585,1.0
