dataset,PC1_centroid,PC1_rank
2019_eu,0.26607544634479596,6
2019_native,0.47612010991509246,5
2019_test,-0.31224808727510656,11
2020_eu,0.2606034875344319,9
2020_native,0.5020890134925774,2
2020_test,-0.4790216106026777,15
2021_eu,0.24760261217466567,10
2021_native,0.5034685200646483,1
2021_test,-0.4453281928514486,12
2022_eu,0.26172482642986866,8
2022_native,0.5000056761852982,3
2022_test,-0.4759541883575608,14
2023_eu,0.263936834404904,7
2023_native,0.49825045971174725,4
2023_test,-0.4699741727484862,13
