rank,feature,loading,abs_loading
1,A44,-0.3291806667479192,0.3291806667479192
2,A59,-0.27814544034677596,0.27814544034677596
3,A40,0.27547383835442374,0.27547383835442374
4,A12,-0.2432565097843603,0.2432565097843603
5,A22,0.22791221828933986,0.22791221828933986
6,A33,0.218127352180808,0.218127352180808
7,A07,-0.21419956890513667,0.21419956890513667
8,A01,-0.20898457644095883,0.20898457644095883
9,A29,0.20376185786968548,0.20376185786968548
10,A45,0.19900289350600628,0.19900289350600628
11,A27,-0.1853937279582742,0.1853937279582742
12,A39,-0.17864470457556508,0.17864470457556508
13,A41,-0.16999321536754516,0.16999321536754516
14,A23,-0.16629498344247187,0.16629498344247187
15,A30,0.15492732661806294,0.15492732661806294
16,A52,0.15457941574799205,0.15457941574799205
17,A54,0.1394169464864109,0.1394169464864109
18,A31,0.13561601673100548,0.13561601673100548
19,A20,-0.13393508941435614,0.13393508941435614
20,A11,0.1209344639369418,0.1209344639369418
21,A47,0.11952053506015674,0.11952053506015674
22,A55,0.11431164639443239,0.11431164639443239
23,A61,-0.104174799717158,0.104174799717158
24,A21,0.10146391251591623,0.10146391251591623
25,A26,0.09862369199390705,0.09862369199390705
26,A37,-0.09208396585491935,0.09208396585491935
27,A13,-0.09095432236166877,0.09095432236166877
28,A24,0.08720840152048147,0.08720840152048147
29,A17,-0.08679436810560669,0.08679436810560669
30,A46,0.0863838131890379,0.0863838131890379
