feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
A00,-0.06370450654828917,0.06825745329042321,-0.07089462436093501,-0.05155569934599865,-0.2020567673970802,0.15696658575309674,0.12507418745118107,-0.19644988917450645,0.1053036116661826,-0.14763202154045674
A01,-0.20898457644095883,0.06165462500190201,0.017423426466257073,-0.2194147197730029,-0.037035954871204126,-0.03613334155813902,-0.06088917313104982,-0.14281231878089207,-0.13630913543488124,0.02457727844982269
A02,0.07860980189415961,0.17895818186236676,0.08841965086950439,-0.015626277053520855,0.18239554940758634,-0.14286261865897296,-0.020672130382025897,-0.12328761202260805,-0.06947427625002843,-0.006069908400294399
A03,-0.032576757375171024,0.09640306240399059,-0.21488937643958533,0.1329679150116553,0.047357244702210366,0.023587080771019637,-0.20524045064794708,-0.09295672798204156,0.23965526269968213,0.024286518984193206
A04,0.039971924337446986,0.024956001181984874,-0.23804509682343875,-0.10758774654449148,-0.2349969901993898,-0.11801327537682664,0.16500840790906746,0.137005700175412,0.17117240429446903,-0.10971959419712222
A05,-0.029179828370848936,-0.0947777062611643,-0.1472020964231907,-0.17223807617467338,-0.1766299776362983,0.02908019028472967,-0.005673726880037886,-0.034088838304159715,-0.20342211075228017,0.1706209913132348
A06,-0.05179209615052832,-0.11492516192065078,-0.03801311820230426,-0.17149647985349314,0.08237155637851368,0.04047581127728104,0.0953506977750772,-0.05397447492588823,-0.19703413116517662,0.23758126977989982
A07,-0.21419956890513667,-0.03414885033956206,0.07158991644493666,0.06768313765319836,0.15612993893025684,0.1508775680089661,0.12464439306813746,0.06888010150075805,0.07385536060478214,0.03649064077811836
A08,-0.005997217734251258,-0.07822550719107982,-0.13990609409577856,-0.04984023656245036,0.08888505899555087,-0.30117986667112806,0.20641771992407817,-0.14548680986486184,0.03399879885085416,0.11603366532429157
A09,-0.0497326095567857,-0.09360876556094416,0.15604414357007895,-0.14462789579417748,0.10800354916350627,-0.006776450268903523,0.038386970042677555,0.05632192260198812,0.05871876229603739,-0.01968194410396242
A10,-0.020354740136195225,-0.030645045300939894,0.13690533137034852,0.14737297977327593,-0.01049051255909232,-0.04969480620309344,-0.03543571640504517,-0.06751274230151996,-0.044416703006388704,0.08683428841914813
A11,0.1209344639369418,-0.004399611919190028,0.10185723205400976,-0.16774502930831797,0.11060740276226023,0.18381689915623498,-0.0570691625426298,0.10399688867487811,-0.11191356202350816,-0.2615968544955796
A12,-0.2432565097843603,-0.05348681068590741,0.10432451870318366,-0.11079974593064361,-0.002961192804011698,-0.13162294904562147,-0.1584407969375885,0.025529094131425567,-0.05888930673384162,-0.1419250666443815
A13,-0.09095432236166877,0.061407014704187926,0.09210040690458716,-0.1307725982349695,0.23499517662975034,-0.07161274737429288,0.13155817241360554,0.04146419112597269,-0.09649662329222096,0.1056148808817862
A14,-0.061868670470888204,-0.037920899131206914,0.04107073430483715,0.18577933385232423,0.02265884347413992,0.021338104228147255,0.09035944452836722,-0.09198803722506207,0.1714324800459115,0.029025634422238423
A15,-0.022502405969872637,-0.038574054898088,0.016203156003318512,0.07784417438744953,0.18732242874383842,0.2808105055250797,0.05298649648337091,0.081652134519227,-0.12109956164460299,0.016031381116388747
A16,0.028526361679233357,-0.05847386741879675,0.02429641668910083,-0.12592755952104265,-0.10583660799384012,0.09930715321931143,-0.1969793021835086,-0.021573749090697664,0.011503110688686124,0.100287402502171
A17,-0.08679436810560669,0.12306469613183017,-0.06092951944738712,0.06504159230718193,0.16389904229829783,0.1411574184561932,-0.1457710357332108,-0.12669529508776145,0.12722166270717547,0.03406558501906463
A18,0.02284576902327398,-0.03793821307318054,-0.010496762634780549,0.07417059121810685,-0.1102019419208674,-0.018279456065645204,-0.2900132535627928,0.06768796366127132,-0.020301943120607766,-0.11812552291400268
A19,-0.06668116482628972,-0.1457417820277552,-0.05736208602540662,-0.084716988060369,0.29120875935330764,-0.1010454882111579,-0.024436926844972312,0.01983170296269161,-0.07645839235706761,0.14917994097929915
A20,-0.13393508941435614,-0.19922123991261725,-0.16655249055100194,0.08876468676769701,-0.30052022175151527,-0.04834246625823627,-0.030953554795183018,0.005662849813652519,-0.20641783963135973,-0.08481372815027811
A21,0.10146391251591623,-0.13672787664121788,0.1887313918876158,-0.03657065494998594,-0.023833826911622592,0.09430495675905984,-0.1585502625758803,0.07745792137192234,0.08145165160722578,0.2548753370371117
A22,0.22791221828933986,0.05120942528266221,-0.10760301450737475,0.23564271743445367,0.10865979830896821,0.12237063727846176,0.11602465387928793,-0.12020152507747187,-0.3350930307201618,0.03315445361160966
A23,-0.16629498344247187,-0.18861781761857835,-0.0730262831042079,-0.05266825833813726,-0.07411148628605306,0.07566183508607752,0.03279972255989766,0.10015659530762266,-0.027760131035940026,-0.07886333340246801
A24,0.08720840152048147,0.013275616874835855,-0.16416054372282063,0.011741553217223017,0.18950178652951324,0.014147664490232463,0.008995333846157317,0.11771176894455908,-0.1718605224345017,-0.0066490416992440494
A25,-0.044461506282710284,0.12822196086295345,-0.22076742823307488,-0.09547311024879182,0.1390733160785052,0.11557787081683811,0.05687562567191944,0.09036633501625284,0.11510918319099724,0.025999239337282362
A26,0.09862369199390705,0.09564718886470108,-0.01800294105955113,-0.09947585564750155,-0.2603240295273836,0.11603002069182461,-0.032052798967577956,-0.04986422757475869,-0.055285444085214484,0.2573462594290114
A27,-0.1853937279582742,0.22725067891179118,-0.10249201903312036,0.14029495820763682,-0.06610733086543476,0.29941475747523283,0.08679870806085052,-0.11817283238910693,-0.14168797253484114,-0.1196624557195828
A28,-0.04899591531098575,-0.21091567313576196,-0.386755266600846,0.13705370973581776,-0.04989501819794204,-0.02495265431340934,-0.0002682723267631781,-0.07099936838857554,-0.014997055577728036,0.08681569873511104
A29,0.20376185786968548,0.07798947238569583,-0.06747964468874935,-0.10065931457246288,0.010892764002755007,0.2574155245786957,-0.05717341660968812,-0.05812643664447309,0.06740256880373853,0.12271961083241202
A30,0.15492732661806294,0.10939075676706096,-0.07139434288969483,-0.05807328975609128,0.07547345668880741,0.12224974096439341,-0.0014048267935942212,-0.1942272489818723,0.05861385261946242,-0.22878608579318446
A31,0.13561601673100548,-0.32471219044977895,0.13324272491392553,0.17909738196894467,-0.14156889331175304,0.014645312322848152,0.16781266656343724,-0.06697234680637117,0.0066698824329931945,-0.05626567344604667
A32,-0.017165480153464488,-0.04611167868357166,-0.16801502044621264,0.013098795176239754,0.003627823010830238,0.25976966087310976,-0.0007075730419909728,0.12381989307861599,0.3105024932037844,0.04515490452865819
A33,0.218127352180808,-0.03421918392173688,-0.10917338599304117,-0.02927062518603109,0.1495900059028978,-0.029091801061746605,0.11777354626522682,0.01972504544853506,0.11481832557523612,-0.05865116727976807
A34,0.008900072416465902,0.11245318112315071,-0.02591971054169779,0.1419239954620687,-0.022581737592510493,-0.07948872763677726,-0.17893655580914805,0.05285756178077283,-0.1995837042789678,0.0065049676420825195
A35,0.015074189819936945,-0.07896163500744932,-0.01695032122095001,-0.09489517826382492,0.05740898679767021,0.13164487946524267,-0.23718919004426497,0.12501297390981475,0.07959225362104494,-0.1370433318791192
A36,0.05267562164692938,-0.08365570758616957,0.16076578528736243,-0.007228252850684781,-0.20856364714996453,0.06357213903040462,0.11839598583135709,-0.23854928250648602,0.040149485760269124,-0.09622579706094758
A37,-0.09208396585491935,-0.08595940093627766,0.028619254257511887,0.09043465274476928,0.15583090588098245,0.14117514334312653,0.049417936464304146,0.07970605589147536,-0.08105332426577572,-0.04894317104707463
A38,0.06665988830612833,-0.005503776288244785,0.14151680382579956,0.14621708371307332,-0.035594884884079636,0.1536720231085352,0.05214388675536617,0.15673656994638005,-0.19537439185186803,-0.07900927493081542
A39,-0.17864470457556508,-0.05920176456505396,-0.1582748852641323,-0.04628540071651127,0.04777987386981477,0.005420871330918445,-0.06448880730137278,-0.15385314535397562,0.12951556822221766,0.050938167825020135
