dataset,prominent_abs_pc1_index,prominent_abs_pc1_value,prominent_pos_pc1_index,prominent_pos_pc1_value,prominent_neg_pc1_index,prominent_neg_pc1_value,representative_index,representative_dist,year_abs,year_pos,year_neg,year_rep,condition_abs,condition_pos,condition_neg,condition_rep
2019_eu,571,0.3122077763832445,571,0.3122077763832445,631,0.178852672204111,545,0.07640404582623073,2019,2019,2019,2019,eu,eu,eu,eu
2019_native,138,0.671716869947023,138,0.671716869947023,18,0.14523389660461442,126,0.24739608661104842,2019,2019,2019,2019,native,native,native,native
2019_test,396,-0.6009992316223421,359,0.03089306545366041,396,-0.6009992316223421,360,0.16040046972128438,2019,2019,2019,2019,test,test,test,test
2020_eu,1641,0.310648757686545,1641,0.310648757686545,1691,0.12619820078189928,1624,0.05680026543319929,2020,2020,2020,2020,eu,eu,eu,eu
2020_native,840,0.6768602722015998,840,0.6768602722015998,672,0.14523389660461442,897,0.21987372162804258,2020,2020,2020,2020,native,native,native,native
2020_test,1083,-0.6181300604279104,1271,0.011468019365075431,1083,-0.6181300604279104,1527,0.17077956404726546,2020,2020,2020,2020,test,test,test,test
2021_eu,2758,0.3070744497944758,2758,0.3070744497944758,2714,0.14523389660461442,2708,0.14902465610962298,2021,2021,2021,2021,eu,eu,eu,eu
2021_native,2061,0.6760974069391689,2061,0.6760974069391689,1762,0.14523389660461442,1943,0.24557601375552268,2021,2021,2021,2021,native,native,native,native
2021_test,2680,-0.6353784086238233,2177,0.14523389660461442,2680,-0.6353784086238233,2575,0.24166764364555135,2021,2021,2021,2021,test,test,test,test
2022_eu,4192,0.3475087469243678,4192,0.3475087469243678,4037,0.14523389660461442,4085,0.1952674301399712,2022,2022,2022,2022,eu,eu,eu,eu
2022_native,2966,0.6991096375717156,2966,0.6991096375717156,2883,0.14523389660461442,3168,0.22433211046891055,2022,2022,2022,2022,native,native,native,native
2022_test,3551,-0.6231836766838227,3307,-0.0031772228877157294,3551,-0.6231836766838227,3874,0.20312289958195695,2022,2022,2022,2022,test,test,test,test
2023_eu,5797,0.3276414391232318,5797,0.3276414391232318,5678,0.14523389660461442,5765,0.22594395521348454,2023,2023,2023,2023,eu,eu,eu,eu
2023_native,4332,0.6905712130769434,4332,0.6905712130769434,4395,0.14523389660461442,4269,0.1902830285677264,2023,2023,2023,2023,native,native,native,native
2023_test,4720,-0.6290851475193425,5211,0.14523389660461442,4720,-0.6290851475193425,4880,0.21091745899553216,2023,2023,2023,2023,test,test,test,test
