dataset,PC1_centroid,PC1_rank
2019_eu,0.7642344525530985,2
2019_native,-0.0051349747364807284,8
2019_test,0.1248222731372132,6
2020_eu,0.7446401348216347,5
2020_native,-0.06090499363553762,10
2020_test,-0.21699193743385653,14
2021_eu,0.7543121838701139,4
2021_native,-0.023330249436943458,9
2021_test,-0.21122402361353457,13
2022_eu,0.7646213075414774,1
2022_native,-0.06208958736256965,11
2022_test,0.032631297661624516,7
2023_eu,0.7606442876980332,3
2023_native,-0.17175480301048374,12
2023_test,-0.2256337548563381,15
