dataset,prominent_abs_pc1_index,prominent_abs_pc1_value,prominent_pos_pc1_index,prominent_pos_pc1_value,prominent_neg_pc1_index,prominent_neg_pc1_value,representative_index,representative_dist,year_abs,year_pos,year_neg,year_rep,condition_abs,condition_pos,condition_neg,condition_rep
2019_eu,662,0.8892542017434465,662,0.8892542017434465,584,0.616829805136795,472,0.10789821330504516,2019,2019,2019,2019,eu,eu,eu,eu
2019_native,27,0.535906408899741,27,0.535906408899741,59,-0.49093708143142,31,0.21459810368037116,2019,2019,2019,2019,native,native,native,native
2019_test,87,0.522210541666874,87,0.522210541666874,142,-0.45318151818727453,265,0.11108807685011766,2019,2019,2019,2019,test,test,test,test
2020_eu,1466,0.8676356481585911,1466,0.8676356481585911,1442,0.6204538566920995,1445,0.08101656210595884,2020,2020,2020,2020,eu,eu,eu,eu
2020_native,676,0.5040941832397078,676,0.5040941832397078,690,-0.4986152693306787,709,0.2170545232432589,2020,2020,2020,2020,native,native,native,native
2020_test,890,0.5533470807898191,890,0.5533470807898191,761,-0.4896711394203421,867,0.17641714908549921,2020,2020,2020,2020,test,test,test,test
2021_eu,2418,0.869567036743253,2418,0.869567036743253,2390,0.6068590010512962,2443,0.0868534019063359,2021,2021,2021,2021,eu,eu,eu,eu
2021_native,1514,0.547161458380404,1514,0.547161458380404,1488,-0.4988092855401115,1529,0.28427259883562267,2021,2021,2021,2021,native,native,native,native
2021_test,1957,0.5339720634684951,1957,0.5339720634684951,2061,-0.5123415341374992,1665,0.15497036510955128,2021,2021,2021,2021,test,test,test,test
2022_eu,3280,0.8798208255169588,3280,0.8798208255169588,3221,0.20703613856693415,3297,0.07173589300697165,2022,2022,2022,2022,eu,eu,eu,eu
2022_native,2492,0.5467479118131946,2492,0.5467479118131946,2526,-0.5061284240784264,2542,0.26265545876159196,2022,2022,2022,2022,native,native,native,native
2022_test,2853,0.5288983349880575,2853,0.5288983349880575,2786,-0.49324149602729284,2576,0.1604436449275773,2022,2022,2022,2022,test,test,test,test
2023_eu,4258,0.8750434748238635,4258,0.8750434748238635,4378,0.20703613856693415,4222,0.08640587452393222,2023,2023,2023,2023,eu,eu,eu,eu
2023_native,3322,0.549216111229269,3322,0.549216111229269,3357,-0.5043629712874538,3314,0.22874891320284654,2023,2023,2023,2023,native,native,native,native
2023_test,3576,-0.5346586347566835,3508,0.4244978848999653,3576,-0.5346586347566835,3698,0.19017855034565423,2023,2023,2023,2023,test,test,test,test
